Stadt Altena;Lüdenscheider Str. 22;Altena;58762;Gundula Flusche;2352209344;g.flusche@altena.de;GGS Altena - Mühlendorf;Jahnstr. 14;Altena;58762;190731;2 DSL;16;1;in Planung 2018;nein, wir sehen aber einen Bedarf;;400;20;Richtfunk Unitymedia;;Fraglich ob jetzt schon eigenwirtschaftlich ausgebaut wird, oder ob dies nur ein Vorschlag ist.
Stadt Altena;Lüdenscheider Str. 22;Altena;58762;Gundula Flusche;2352209344;g.flusche@altena.de;GGS Altena - Dahle;Westerfelder Str. 26;Altena;58762;190731;;16;1;nein in Planung für 2019;ja;;400;20;;Bundesförderprogramm;Kein Glasfaserausbau, wenn tatsächlich gefördert
Stadt Altena;Lüdenscheider Str. 22;Altena;58762;Gundula Flusche;2352209344;g.flusche@altena.de;Grundschule Breitenhagen;Bergfelder Weg 21;Altena;58762;131350;DSL;16;1;in Planung 2018;nein, wir sehen aber einen Bedarf;;;;;;
Stadt Altena;Lüdenscheider Str. 22;Altena;58762;Gundula Flusche;2352209344;g.flusche@altena.de;Europaschule Burggymnasium;Bismarckstr. 10;Altena;58762;169754;2xDSL;16;1;nein in Planung für 2019;;;400;20;;Bundesförderprogramm;
Stadt Altena;Lüdenscheider Str. 22;Altena;58762;Gundula Flusche;2352209344;g.flusche@altena.de;Sekundarschule Altena/Nachrodt-Wiblingwerde;Nettestr. 58-60;Altena;58762;197063;DSL;16;1;nein in Planung für 2019;nein, wir sehen aber einen Bedarf;;;;;;
Gemeinde Anröchte;Hauptstraße 74;Anröchte;59609;Herr Dreger;02947/888-111;wolfgang.dreger@anroechte.de;Sekundarschule Anröchte/Erwitte;Im Hagen 3;Anröchte;59609;196976;V-DSL;50;50;ja;Nein, wir sehen aber einen Bedarf.;;;;;;keine Angaben zu restlichen Kategorien
Gemeinde Anröchte;Hauptstraße 74;Anröchte;59609;Herr Dreger;02947/888-111;wolfgang.dreger@anroechte.de;Pankratius Grundschu-le, katholische Grund-schule Anröchte;Kapellenweg 10;Anröchte;59609;133784;Angaben siehe Sekun-darschule Anröch-te/Erwitte. Anbindung über die gleiche Lei-tung.;50;50;;;;;;;;keine Angaben zu restlichen Kategorien
Gemeinde Anröchte;Hauptstraße 74;Anröchte;59609;Herr Dreger;02947/888-111;wolfgang.dreger@anroechte.de;Pankratius Grundschu-le, katholische Grund-schule Anröchte;Schulstraße 3;Anröchte;59609;133784;A-DSL;16;1;ja;Nein, wir sehen aber einen Bedarf.;;;;;;keine Angaben zu restlichen Kategorien
Erzbischöfliches Generalvikariat, Hauptabt. Schule und Erziehung, Abt. Kath. Schulen in freier Trägerschaft;Domplatz 3;Paderborn;33098;;;;St.-Ursula-Gymnasium;Engelbertstr. 43;Arnsberg;59755;169857;Kabel / Unitymedia;400;10;;Nein;;;;Bedarf;;
Stadt Arnsberg;Rathausplatz 1;Arnsberg;59759;;;;Grundschule „St. Josef-Bergheim“;Marienstraße 1;Arnsberg;59757;131957;Kabel / Unitymedia;400;10;in Planung;Nein;;;;Bedarf;;
