Schulnummer;Anzahl;
"100010";"73";
"100011";"130";
"100012";"360";
"100014";"384";
"100015";"115";
"100016";"466";
"100017";"37";
"100018";"661";
"100019";"757";
"100020";"193";
"100021";"557";
"100022";"797";
"100023";"173";
"100024";"458";
"100025";"148";
"100026";"0";
"100027";"0";
"100028";"0";
"100029";"0";
"100030";"21";
"100033";"48";
"100034";"29";
"100035";"38";
"100036";"0";
"100037";"8";
"100038";"0";
"100039";"12";
"100040";"0";
"100041";"0";
"100042";"0";
"100044";"0";
"100045";"0";
"100046";"0";
"100047";"0";
"100048";"0";
"100049";"0";
"100050";"0";
"100051";"0";
"100052";"0";
"100053";"0";
"100056";"0";
"100057";"0";
"100058";"0";
"100059";"0";
"100060";"0";
"100067";"337";
"100079";"350";
"100092";"153";
"100109";"341";
"100122";"185";
"100158";"169";
"100160";"331";
"100171";"349";
"100183";"203";
"100213";"295";
"100225";"220";
"100237";"200";
"100250";"204";
"100262";"150";
"100274";"179";
"100286";"485";
"100298";"109";
"100304";"254";
"100316";"210";
"100328";"449";
"100330";"306";
"100365";"254";
"100389";"123";
"100390";"177";
"100420";"350";
"100432";"212";
"100444";"211";
"100468";"202";
"100470";"226";
"100481";"152";
"100493";"257";
"100500";"335";
"100523";"352";
"100535";"243";
"100547";"138";
"100560";"225";
"100572";"114";
"100584";"207";
"100596";"253";
"100602";"201";
"100638";"322";
"100651";"310";
"100663";"104";
"100675";"184";
"100687";"319";
"100699";"286";
"100705";"426";
"100717";"223";
"100730";"195";
"100742";"324";
"100754";"220";
"100766";"303";
"100778";"240";
"100780";"181";
"100791";"317";
"100808";"312";
"100810";"249";
"100821";"212";
"100833";"373";
"100845";"287";
"100869";"188";
"100870";"176";
"100882";"185";
"100894";"191";
"100900";"161";
"100924";"274";
"100936";"188";
"100950";"304";
"100961";"266";
"100973";"99";
"100985";"226";
"101000";"160";
"101011";"239";
"101023";"361";
"101047";"317";
"101059";"192";
"101060";"208";
"101072";"400";
"101084";"200";
"101126";"210";
"101138";"174";
"101140";"162";
"101151";"310";
"101163";"255";
"101205";"206";
"101217";"368";
"101242";"181";
"101254";"200";
"101266";"198";
"101291";"202";
"101321";"156";
"101333";"294";
"101357";"200";
"101369";"151";
"101370";"198";
"101382";"209";
"101394";"315";
"101400";"379";
"101412";"222";
"101424";"255";
"101436";"305";
"101448";"287";
"101473";"325";
"101485";"279";
"101503";"213";
"101515";"187";
"101527";"201";
"101540";"234";
"101552";"201";
"101564";"348";
"101576";"140";
"101588";"178";
"101606";"290";
"101618";"270";
"101620";"185";
"101631";"232";
"101643";"344";
"101655";"176";
"101667";"199";
"101679";"255";
"101692";"305";
"101709";"278";
"101710";"242";
"101722";"173";
"101734";"242";
"101746";"381";
"101771";"246";
"101801";"233";
"101813";"200";
"101837";"238";
"101850";"221";
"101886";"206";
"101898";"223";
"101904";"201";
"101916";"227";
"101930";"128";
"101941";"213";
"102003";"393";
"102015";"219";
"102027";"161";
"102040";"188";
"102052";"208";
"102064";"363";
"102076";"235";
"102088";"320";
"102106";"217";
"102118";"184";
"102120";"213";
"102143";"210";
"102155";"206";
"102179";"214";
"102180";"216";
"102210";"215";
"102234";"189";
"102246";"209";
"102258";"212";
"102260";"410";
"102271";"231";
"102283";"195";
"102295";"289";
"102301";"166";
"102362";"214";
"102386";"281";
"102398";"196";
"102404";"191";
"102416";"307";
"102430";"178";
"102453";"194";
"102465";"200";
"102489";"316";
"102490";"276";
"102507";"293";
"102519";"330";
"102520";"205";
"102532";"271";
"102544";"345";
"102556";"232";
"102570";"197";
"102600";"182";
"102623";"293";
"102635";"331";
"102647";"202";
"102659";"220";
"102660";"205";
"102672";"238";
"102696";"264";
"102702";"199";
"102714";"180";
"102726";"144";
"102738";"231";
"102740";"193";
"102751";"368";
"102763";"312";
"102775";"193";
"102787";"201";
"102799";"201";
"102805";"331";
"102829";"236";
"102830";"172";
"102842";"180";
"102866";"242";
"102878";"295";
"102880";"125";
"102891";"232";
"102908";"343";
"102921";"252";
"102945";"392";
"102957";"223";
"102970";"218";
"102982";"213";
"102994";"314";
"103020";"364";
"103068";"477";
"103070";"254";
"103081";"225";
"103100";"161";
"103111";"305";
"103123";"222";
"103135";"279";
"103147";"204";
"103159";"220";
"103160";"221";
"103172";"348";
"103184";"282";
"103196";"336";
"103202";"121";
"103214";"231";
"103226";"295";
"103240";"217";
"103251";"300";
"103263";"217";
"103287";"169";
"103299";"281";
"103305";"306";
"103317";"220";
"103330";"219";
"103342";"232";
"103354";"211";
"103366";"252";
"103378";"234";
"103380";"196";
"103410";"202";
"103421";"316";
"103433";"203";
"103445";"211";
"103500";"209";
"103512";"172";
"103524";"396";
"103536";"386";
"103561";"194";
"103573";"196";
"103627";"300";
"103639";"187";
"103652";"227";
"103676";"283";
"103690";"367";
"103720";"318";
"103731";"197";
"103755";"432";
"103780";"262";
"103809";"320";
"103822";"238";
"103834";"382";
"103846";"187";
"103858";"208";
"103860";"233";
"103913";"250";
"103925";"315";
"103949";"260";
"103950";"278";
"103962";"204";
"103974";"271";
"103998";"319";
"104000";"183";
"104012";"278";
"104036";"313";
"104048";"215";
"104073";"227";
"104085";"380";
"104103";"266";
"104115";"210";
"104127";"179";
"104139";"291";
"104140";"262";
"104164";"212";
"104188";"405";
"104190";"225";
"104206";"200";
"104220";"251";
"104231";"248";
"104243";"295";
"104279";"233";
"104280";"220";
"104292";"105";
"104310";"153";
"104346";"241";
"104358";"218";
"104360";"206";
"104371";"226";
"104401";"221";
"104413";"370";
"104425";"221";
"104437";"120";
"104449";"175";
"104450";"97";
"104462";"316";
"104528";"302";
"104541";"228";
"104565";"203";
"104577";"355";
"104589";"207";
"104607";"174";
"104619";"233";
"104620";"266";
"104632";"162";
"104644";"164";
"104656";"212";
"104670";"210";
"104681";"174";
"104693";"229";
"104700";"266";
"104723";"178";
"104796";"161";
"104802";"286";
"104814";"204";
"104838";"208";
"104840";"237";
"104851";"311";
"104863";"210";
"104875";"164";
"104887";"241";
"104905";"196";
"104917";"148";
"104929";"166";
"104930";"271";
"104954";"236";
"104966";"278";
"104991";"307";
"105004";"219";
"105041";"211";
"105065";"294";
"105089";"307";
"105090";"203";
"105107";"212";
"105119";"296";
"105120";"294";
"105132";"283";
"105144";"209";
"105156";"223";
"105170";"314";
"105181";"252";
"105193";"199";
"105211";"215";
"105223";"269";
"105235";"299";
"105247";"210";
"105259";"290";
"105260";"214";
"105272";"171";
"105284";"219";
"105296";"216";
"105302";"237";
"105314";"192";
"105363";"350";
"105375";"268";
"105387";"256";
"105399";"208";
"105405";"277";
"105417";"384";
"105429";"251";
"105430";"401";
"105442";"219";
"105454";"120";
"105466";"303";
"105478";"213";
"105480";"183";
"105510";"202";
"105521";"168";
"105533";"295";
"105545";"304";
"105569";"208";
"105582";"223";
"105594";"214";
"105600";"165";
"105624";"255";
"105636";"211";
"105648";"344";
"105650";"243";
"105661";"272";
"105673";"314";
"105685";"272";
"105697";"246";
"105703";"211";
"105715";"201";
"105727";"252";
"105739";"205";
"105740";"302";
"105752";"185";
"105776";"299";
"105788";"222";
"105790";"138";
"105820";"208";
"105831";"194";
"105855";"306";
"105867";"322";
"105879";"216";
"105880";"226";
"105892";"196";
"105909";"201";
"105910";"186";
"105922";"337";
"105946";"322";
"105958";"211";
"105971";"293";
"105983";"290";
"105995";"208";
"106008";"291";
"106010";"121";
"106021";"195";
"106033";"249";
"106069";"215";
"106070";"212";
"106082";"176";
"106094";"254";
"106100";"213";
"106112";"198";
"106124";"170";
"106136";"227";
"106197";"193";
"106203";"349";
"106215";"326";
"106239";"202";
"106252";"281";
"106264";"304";
"106276";"107";
"106288";"309";
"106318";"206";
"106331";"200";
"106343";"285";
"106355";"281";
"106367";"110";
"106392";"150";
"106409";"175";
"106410";"115";
"106434";"224";
"106446";"291";
"106458";"206";
"106471";"131";
"106483";"223";
"106495";"189";
"106501";"225";
"106513";"218";
"106525";"232";
"106550";"314";
"106562";"272";
"106574";"283";
"106604";"239";
"106616";"190";
"106630";"241";
"106641";"290";
"106653";"226";
"106665";"125";
"106677";"188";
"106690";"297";
